#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
1,19,106.183592,10
1,18,106.274674,11
1,25,106.35775,12
1,31,106.465848,6
1,24,106.542918,9
1,22,106.613983,13
1,22,106.685048,10
1,22,106.756113,10
1,28,106.846194,11
1,19,106.90725,11
1,23,106.981317,13
1,24,107.059388,14
1,28,107.14947,16
1,28,107.239551,9
1,20,107.304613,11
1,18,107.362666,14
1,24,107.440737,15
1,26,107.523812,11
1,24,107.601883,8
1,20,107.665941,6
1,20,107.731001,14
1,23,107.806069,13
1,18,107.864122,6
1,22,107.970218,11
1,29,108.068307,6
1,20,108.136369,11
1,19,108.198426,10
1,18,108.256478,5
1,24,108.334549,17
1,20,108.399608,6
1,20,108.464667,15
1,22,108.536733,7
1,23,108.611801,14
1,20,108.677861,12
1,19,108.739918,9
1,27,108.827106,12
1,20,108.893166,11
1,25,108.97424,17
1,24,109.05222,10
1,18,109.111274,13
1,19,109.17333,11
1,26,109.262411,9
1,28,109.353494,6
1,25,109.435568,13
1,23,109.510637,11
1,21,109.614731,11
1,23,109.696805,13
1,27,109.798898,10
1,26,109.882975,12
1,21,109.950036,7
1,24,111.670614,15
1,22,111.737674,16
1,24,111.811742,12
1,25,111.888812,12
1,25,111.964881,10
1,18,112.020932,7
1,19,112.078985,13
1,21,112.144044,7
1,22,112.212106,9
1,19,112.270159,11
1,26,112.351232,14
1,22,112.419294,11
1,21,112.484353,9
1,21,112.549412,11
1,18,112.604462,9
1,18,112.660513,9
1,21,112.725572,12
1,24,112.800641,10
1,18,112.893725,4
1,20,112.958784,11
1,21,113.029849,6
1,20,113.093907,13
1,27,113.177984,15
1,18,113.235035,12
1,21,113.301096,18
1,26,113.382169,8
1,22,113.451232,4
1,18,113.508284,10
1,21,113.574344,11
1,23,113.646409,11
1,26,113.728484,9
1,21,113.794544,13
1,18,113.850595,9
1,19,113.91065,5
1,19,113.970705,7
1,22,114.040768,13
1,21,114.106828,11
1,22,114.177892,5
1,24,114.254963,6
1,21,114.323024,14
1,18,114.380076,12
1,18,114.437128,4
1,26,114.556236,14
1,21,114.627301,14
1,21,114.698365,12
1,19,114.75842,7
1,21,114.825481,10
1,35,114.937583,9
1,23,115.010649,11
1,20,115.074707,7
1,20,115.138766,8
1,20,115.202824,14
1,20,115.266882,11
1,20,115.33094,10
1,21,115.398001,8
1,26,115.481076,16
1,19,115.542132,6
1,20,115.60619,14
1,18,115.663242,10
1,20,115.7273,11
1,21,115.794361,11
1,22,115.865426,6
1,20,115.929484,12
1,30,116.025571,10
1,20,116.089629,10
1,24,116.208738,8
1,21,116.279803,5
1,18,116.339857,12
1,20,116.404916,15
1,23,116.478983,13
1,22,116.550048,9
1,29,116.643133,17
1,22,116.715198,3
1,30,116.811285,5
1,20,116.875344,4
1,20,116.940403,8
1,19,117.001458,8
1,19,117.062514,5
1,24,117.140584,11
1,21,117.208647,3
1,23,117.282714,10
1,20,117.346772,12
1,18,117.404825,13
1,20,117.469884,7
1,20,117.533942,11
1,20,117.599001,12
1,19,117.660057,8
1,24,117.738128,11
1,31,117.876253,11
1,22,117.952322,9
1,26,118.040404,15
1,32,118.143497,18
1,24,118.221568,17
1,19,118.282624,12
