#{"t_start": 1679427792.4941602, "env_id": null}
r,l,t,ruined grasses
1,182,249.027366,78
1,52,249.221542,29
1,76,249.505958,35
1,50,249.694129,36
1,56,249.912492,36
1,56,250.215768,34
1,64,250.485185,38
1,59,250.727405,35
1,46,250.915676,24
1,52,251.127869,30
1,110,251.576406,42
1,58,251.814622,34
1,198,252.725763,63
1,44,252.909013,32
1,51,253.122207,29
1,75,253.434337,36
1,48,253.63552,32
1,50,253.843709,22
1,58,254.086067,28
1,73,254.391467,33
1,49,254.682731,24
1,52,254.896607,24
1,51,255.104797,20
1,55,257.062718,25
1,58,257.291926,26
1,42,257.443227,25
1,52,257.630397,31
1,45,257.792544,27
1,58,258.002853,28
1,48,258.224054,27
1,44,258.399251,24
1,50,258.585534,29
1,57,258.796726,32
1,72,259.072184,33
1,64,259.3104,28
1,46,259.480727,26
1,48,259.660891,28
1,63,259.896104,30
1,48,260.154504,23
1,70,260.450886,43
1,72,260.743152,28
1,74,261.042558,33
1,53,261.258754,34
1,49,261.459062,35
1,52,261.671761,30
1,49,261.872943,33
1,56,262.103287,33
1,51,262.398556,25
1,52,262.614877,35
1,44,262.798043,20
1,74,263.106024,36
1,180,263.85613,65
1,61,264.110566,36
1,55,264.340775,42
1,55,264.652182,29
1,43,264.832346,18
1,65,265.096834,22
1,74,265.41124,14
1,48,267.357938,27
1,42,267.517241,22
1,48,267.6914,30
1,50,267.871563,24
1,49,268.049907,28
1,43,268.25109,23
1,80,268.561505,52
1,49,268.741669,21
1,48,268.917829,29
1,88,269.243268,31
1,55,269.446453,27
1,64,269.685757,27
1,72,269.957003,46
1,50,270.192345,26
1,51,270.41655,22
1,52,270.626891,22
1,66,270.892132,32
1,39,271.052465,30
1,68,271.327716,41
1,49,271.525896,23
1,334,272.993804,68
1,47,273.192742,25
1,44,273.38792,17
1,62,273.664446,22
0,480,277.534538,69
1,46,277.717862,25
1,55,277.917043,34
1,40,278.061174,27
1,48,278.234486,28
1,62,278.521747,21
1,44,278.684104,27
1,54,278.883285,26
1,54,279.078507,25
1,68,279.33285,35
1,55,279.535538,36
1,54,279.736844,31
1,58,279.95304,29
1,50,280.14032,21
1,56,280.40356,31
1,47,280.589795,32
1,52,280.803096,29
1,111,281.253707,40
1,52,281.464899,21
1,47,281.656205,23
1,68,281.934458,30
1,43,282.109664,21
1,43,282.363016,19
1,45,282.55519,23
1,40,282.718487,29
1,48,282.917668,25
1,46,283.11088,24
1,42,283.287462,18
1,59,283.540286,27
1,55,283.77568,28
1,62,284.042922,22
1,53,284.272272,30
1,45,284.543518,25
1,44,284.741984,32
1,49,284.95318,34
1,55,285.191574,27
1,59,285.445806,33
1,48,285.653995,36
1,46,285.851279,32
1,57,287.866763,37
1,44,288.042923,21
1,65,288.278283,34
1,70,288.592569,38
1,52,288.782866,21
1,41,288.933002,21
1,48,289.114166,25
1,45,289.280432,23
1,61,289.506638,36
1,46,289.676792,23
1,67,289.925141,38
1,174,290.635913,57
1,53,290.849235,27
1,116,291.315577,53
1,61,291.562801,36
1,42,291.732076,25
1,43,291.906235,21
1,46,292.094406,30
1,43,292.269662,27
1,42,292.52189,21
1,44,292.702055,24
1,71,292.988488,48
1,47,293.180662,25
1,49,293.386523,13
1,49,293.640755,26
1,51,293.861174,25
1,44,294.048343,23
1,51,294.266701,25
1,53,294.493908,32
1,49,294.7783,20
1,54,295.012023,24
1,87,295.365343,41
1,44,295.546508,13
1,40,295.709656,20
1,52,295.921849,31
1,41,296.089001,21
1,54,297.987726,38
1,48,298.171894,23
1,72,298.482175,35
1,42,298.640319,14
1,42,298.794459,23
1,45,298.95961,30
1,40,299.106743,14
1,56,299.317935,40
1,39,299.468072,23
1,49,299.658244,31
1,48,299.846415,28
1,40,299.998554,19
1,85,300.377898,46
1,42,300.558063,26
1,49,300.747234,31
1,49,300.943413,33
1,41,301.110564,24
1,43,301.286549,21
1,46,301.47472,25
1,49,301.674902,34
1,42,301.846058,26
1,47,302.037232,25
1,46,302.224402,18
1,52,302.519669,30
1,45,302.709843,30
1,42,302.886003,24
1,53,303.126221,28
1,49,303.336412,25
1,43,303.516576,29
1,46,303.70775,29
1,47,303.904931,19
1,46,304.107115,21
1,62,304.398895,11
1,55,304.737215,31
1,45,304.926387,18
1,38,305.08353,26
1,39,305.246678,25
1,45,305.432847,28
1,49,305.635031,22
1,60,305.873247,32
1,56,306.095449,34
1,42,306.2606,29
1,40,306.418743,25
1,106,308.554684,38
1,48,308.739853,17
1,198,309.465513,38
1,78,309.764785,34
1,50,309.950953,14
1,43,310.1121,21
1,44,310.283256,28
1,42,310.507459,28
1,54,310.715649,27
1,64,310.959871,32
1,92,311.346229,40
1,53,311.572434,29
1,76,311.890727,29
1,56,312.115931,25
1,235,313.199934,52
1,52,313.416132,28
1,54,313.65836,18
1,51,313.880103,18
1,67,314.150348,27
1,48,314.344525,28
1,59,314.607819,33
1,57,314.935116,28
1,60,315.197367,24
1,63,315.463609,32
1,242,316.448504,47
1,185,318.960296,87
1,40,319.122443,19
1,39,319.273581,25
1,45,319.442734,27
1,50,319.625901,26
1,46,319.794054,30
1,53,319.996237,26
1,44,320.160387,29
1,55,320.362571,33
1,40,320.559749,24
1,214,321.381496,51
1,120,321.836913,40
1,48,322.032089,22
1,61,322.292326,30
1,66,322.643645,17
1,54,322.864846,21
1,44,323.043009,21
1,48,323.288234,20
1,50,323.52846,24
1,57,323.789696,24
1,47,323.981871,23
1,72,324.268131,36
1,53,324.477321,28
1,64,324.826638,42
1,46,325.016815,31
1,102,325.395159,34
1,65,325.636547,34
1,55,325.839731,22
1,48,326.016039,30
1,40,326.166176,30
1,57,326.380371,24
1,87,326.79694,39
1,46,328.766383,30
1,51,328.96575,29
1,69,329.21998,26
1,54,329.414157,23
1,76,329.688618,38
1,53,329.880793,40
1,52,330.077161,30
1,54,330.277344,29
1,58,330.536716,25
1,50,330.737899,25
1,108,331.136421,34
1,50,331.323591,28
1,101,331.710117,54
1,94,332.069586,29
1,44,332.247747,20
1,43,332.507126,22
1,77,332.839428,31
1,59,333.075784,17
1,53,333.307995,32
1,48,333.516294,26
1,69,333.806558,34
1,46,334.003905,28
1,74,334.317188,29
1,50,334.53253,21
1,51,334.833804,34
1,64,335.097163,21
1,56,335.334378,23
1,51,335.54868,32
1,71,335.854958,25
1,56,336.130346,24
1,44,336.323521,25
1,62,336.586965,23
1,47,336.839194,20
1,76,337.266785,28
1,47,339.188031,31
0,480,341.053561,68
1,56,341.266756,30
1,59,341.489958,26
1,186,342.207929,50
1,67,342.521225,22
1,53,342.867826,24
1,48,343.089157,25
1,52,343.304353,31
1,62,343.564625,38
1,58,343.804961,24
1,52,344.018155,30
1,85,344.364623,19
1,58,344.597941,32
1,152,345.379367,59
1,52,345.599741,27
1,44,345.783907,26
1,75,346.092187,21
1,47,346.304518,30
1,66,346.602905,24
1,63,346.866144,33
1,61,347.123557,27
1,49,347.417824,27
1,59,347.667192,27
1,50,349.601433,31
1,46,349.777756,31
1,89,350.10105,57
1,44,350.262347,23
1,76,350.544603,31
1,49,350.73395,14
1,45,350.903103,25
1,54,351.177493,22
1,44,351.347648,30
1,54,351.550832,17
1,59,351.774187,24
1,46,351.955351,20
1,40,352.106488,27
1,52,352.302814,23
1,49,352.508,28
1,42,352.685333,26
1,58,352.922549,29
1,47,353.202965,29
1,67,353.476213,30
1,42,353.645367,29
1,51,353.84878,27
1,49,354.044959,28
1,73,354.344405,45
1,56,354.583623,23
1,58,354.819988,22
1,73,355.195369,16
1,65,355.478788,30
1,44,355.665959,28
1,51,355.891382,34
1,73,356.221833,32
1,51,356.454048,25
1,46,356.666241,22
1,52,356.890606,27
1,59,357.146839,34
1,51,357.44629,28
1,57,357.698521,32
1,49,357.918031,20
1,46,358.108205,31
1,64,360.083698,42
1,50,360.272908,27
1,56,360.485221,27
1,47,360.67039,25
1,62,360.90479,21
1,63,361.138002,17
1,46,361.370376,27
1,46,361.546536,26
1,51,361.73771,30
1,45,361.907007,21
1,81,362.211284,36
1,43,362.373593,29
1,54,362.580781,29
1,49,362.784968,24
1,41,362.956282,19
1,50,363.232532,28
1,43,363.427865,27
0,480,365.52933,52
1,50,365.743525,32
1,48,365.941904,29
1,52,366.20114,31
1,53,366.426483,18
1,45,366.623662,31
1,56,366.894909,28
1,70,367.177165,21
1,42,367.353407,19
0,480,371.073215,57
1,48,371.252378,19
1,46,371.481831,18
1,42,371.652988,26
1,64,371.899373,19
1,46,372.075533,9
1,53,372.275718,22
1,57,372.488063,25
1,39,372.633195,24
1,43,372.794342,25
1,44,372.959647,27
1,81,373.27193,31
1,55,373.581352,25
1,65,373.941806,35
1,83,374.268102,40
1,56,374.484484,35
1,48,374.670653,25
1,42,374.833804,22
1,51,375.031154,18
1,43,375.198308,19
1,75,375.525759,53
1,48,375.725941,25
1,48,375.969396,33
1,55,376.23579,30
1,48,376.44498,28
1,58,376.687201,30
1,48,376.887383,23
1,62,377.168486,34
1,46,377.376673,28
1,46,377.560104,21
1,60,377.886399,26
1,69,378.201885,41
1,51,378.420084,28
1,55,378.638282,19
1,41,378.800429,25
1,42,380.67313,24
1,40,380.852293,32
1,52,381.04659,36
1,45,381.212742,19
1,87,381.580863,51
1,50,381.79906,35
1,41,381.957204,25
1,40,382.10848,25
1,51,382.297652,30
1,90,382.633104,49
1,40,382.781239,23
1,50,382.967408,26
1,43,383.1307,29
1,62,383.36191,31
1,67,383.673333,28
1,41,383.847492,29
1,41,384.034662,28
1,51,384.266009,20
1,44,384.450177,19
1,48,384.653535,23
1,45,384.844708,23
1,46,385.035882,27
1,47,385.230148,28
1,55,385.460357,31
1,51,385.751658,22
1,46,385.958847,25
1,59,386.203221,23
1,43,386.380382,27
1,42,386.552538,23
1,50,386.807152,20
1,60,387.108425,33
1,49,387.320277,28
1,57,387.556492,31
1,43,387.730875,24
1,46,388.003121,17
1,124,388.508724,48
1,50,388.709067,16
1,59,388.970814,20
1,64,389.233195,32
1,73,391.27835,39
1,51,391.467522,32
1,52,391.661698,23
1,44,391.868051,25
1,53,392.080244,29
1,49,392.259407,20
1,47,392.457587,23
1,47,392.673792,19
1,53,392.899145,31
1,106,393.293643,25
1,62,393.521851,25
1,69,393.819202,36
1,46,394.012378,28
1,51,394.198547,22
1,48,394.374873,24
1,44,394.556105,18
1,42,394.727261,21
1,53,394.943604,35
1,40,395.106752,24
1,52,395.319098,21
