#{"t_start": 1679423017.1523116, "env_id": null}
r,l,t,ruined grasses
1,54,862.782228,33
1,51,863.263172,34
1,58,863.716585,34
1,125,864.834718,46
1,54,865.371071,38
1,103,866.408019,33
1,52,866.991432,34
1,60,867.556546,35
1,67,868.193124,33
1,54,868.656545,35
1,97,869.548356,58
1,48,875.596002,36
1,47,875.947688,36
1,151,877.453056,55
1,51,877.9405,41
1,54,878.458971,39
1,58,879.037496,31
1,49,879.510927,34
1,78,880.263611,50
1,42,880.675199,31
1,95,881.594345,46
1,84,882.514863,36
1,73,883.23252,45
1,50,883.704851,35
1,66,884.348671,41
1,46,884.766051,35
1,46,885.145395,36
1,42,885.495713,35
1,92,886.376513,51
1,96,887.381427,40
1,45,887.831837,35
1,73,888.555494,42
1,67,889.225103,49
1,367,892.691794,99
1,61,893.276325,40
1,56,893.811812,37
1,42,894.21718,37
1,60,894.795706,38
1,39,900.70008,33
1,59,901.262781,37
1,47,901.717172,37
1,53,902.235644,42
1,44,902.657027,37
1,44,903.069402,38
1,48,903.45275,33
1,45,903.791058,37
1,43,904.154388,39
1,41,904.547745,34
1,54,905.066218,38
1,111,906.15921,51
1,55,906.776772,40
1,56,907.326271,41
1,84,908.145439,43
1,45,908.588842,31
1,45,909.019398,32
1,39,909.389388,35
1,40,909.765741,35
1,44,910.149602,33
1,76,910.74214,43
1,52,911.246797,32
1,40,911.619139,34
1,90,912.496937,54
1,53,913.02842,36
1,60,913.627966,31
1,43,914.053351,34
1,55,914.599848,36
1,132,915.906035,58
1,84,916.821868,40
1,56,917.365362,40
1,49,917.839529,35
1,135,919.112736,53
1,44,919.53015,37
1,43,919.884155,33
1,56,926.081307,41
1,46,926.583561,25
1,48,927.00094,33
1,48,927.41204,29
1,74,928.108218,33
1,46,928.563832,38
1,47,929.030259,35
1,136,930.391496,51
1,51,930.871933,41
1,80,931.680667,51
1,46,932.098047,33
1,45,932.509421,36
1,43,932.920794,36
1,64,933.556372,38
1,40,933.95355,32
1,47,934.418234,35
1,45,934.856232,36
1,46,935.29439,38
1,40,935.675737,35
1,89,936.566658,46
1,44,937.007281,33
1,39,937.395633,35
1,45,937.816015,35
1,57,938.313467,45
1,42,938.667789,35
1,55,939.209281,37
1,49,939.620655,33
1,43,940.026023,35
1,50,940.500454,37
1,47,941.013922,30
1,57,941.562419,43
1,58,942.125437,41
1,49,942.615882,35
1,45,943.044272,27
1,44,943.482225,35
