#{"t_start": 1679480980.870534, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,8.73305
0.0,8,8.749069
0.0,14,8.777097
0.0,5,8.786105
0.0,10,8.805094
0.0,15,8.835123
0.0,17,8.869154
0.0,7,8.884168
0.0,10,8.903185
0.0,8,8.9202
0.0,5,8.931211
0.0,9,8.949227
0.0,4,8.956233
0.0,12,8.981258
0.0,10,9.03531
0.0,2,9.039313
1.0,18,9.076349
0.0,5,9.085357
0.0,7,9.100371
0.0,10,9.120389
0.0,7,9.134402
0.0,3,9.140409
0.0,5,9.151417
0.0,4,9.160425
0.0,9,9.178442
0.0,16,9.210471
0.0,11,9.232491
0.0,3,9.237496
0.0,7,9.251508
0.0,3,9.259516
0.0,4,9.266524
0.0,3,9.271529
0.0,12,9.296608
0.0,2,9.300615
0.0,7,9.314712
0.0,4,9.321718
0.0,5,9.332732
0.0,11,9.353752
0.0,10,9.373774
0.0,16,9.4018
0.0,5,9.409807
0.0,8,9.423819
0.0,5,9.432828
0.0,9,9.447841
0.0,5,9.45685
0.0,8,9.470862
0.0,6,9.480871
0.0,4,9.487878
0.0,4,9.494884
0.0,6,9.504893
0.0,3,9.509898
0.0,2,9.513901
0.0,2,9.516904
0.0,8,9.530917
0.0,4,9.536922
0.0,7,9.548933
0.0,3,9.554939
0.0,5,9.562946
0.0,5,9.571954
0.0,6,9.581964
0.0,2,9.584966
0.0,10,9.602982
0.0,2,9.605985
0.0,21,9.642018
0.0,11,9.661035
0.0,4,9.668041
0.0,2,9.671044
0.0,5,9.680053
0.0,9,9.695066
0.0,3,9.700071
0.0,5,9.709079
0.0,7,9.72109
0.0,2,9.725093
0.0,6,9.735103
0.0,22,9.773137
0.0,11,9.792155
0.0,6,9.803195
0.0,2,9.803195
0.0,16,9.834286
0.0,5,9.842293
0.0,4,9.8493
0.0,2,9.853303
0.0,4,9.859309
0.0,4,9.866315
0.0,5,9.875323
0.0,4,9.882329
0.0,27,9.928372
0.0,14,9.988426
0.0,3,9.99343
0.0,3,9.998435
0.0,2,10.002439
0.0,18,10.033467
0.0,15,10.05949
0.0,8,10.073503
0.0,11,10.092521
0.0,8,10.106534
0.0,18,10.137562
0.0,6,11.635262
0.0,13,11.657283
0.0,2,11.660285
0.0,6,11.670295
0.0,3,11.6763
0.0,6,11.685308
0.0,8,11.699321
1.0,11,11.717337
0.0,8,11.730349
0.0,2,11.734353
0.0,3,11.739357
0.0,3,11.744362
0.0,10,11.760376
0.0,4,11.767382
1.0,19,11.798411
0.0,4,11.805417
0.0,4,11.812424
0.0,6,11.822433
1.0,14,11.845454
0.0,10,11.861468
0.0,2,11.865472
0.0,3,11.870477
0.0,9,11.88549
1.0,12,11.905508
0.0,7,11.916518
0.0,9,11.931532
0.0,2,11.934535
0.0,17,11.963561
0.0,4,11.969567
0.0,6,11.979576
0.0,23,12.018611
0.0,15,12.043634
0.0,3,12.048638
0.0,3,12.053643
0.0,12,12.073661
0.0,14,12.096682
0.0,3,12.101686
0.0,13,12.122706
0.0,12,12.142724
0.0,9,12.157738
0.0,3,12.162742
0.0,9,12.177756
0.0,5,12.185763
0.0,6,12.195772
0.0,4,12.202779
0.0,3,12.207783
0.0,10,12.223798
0.0,3,12.228802
0.0,4,12.235808
0.0,5,12.243816
0.0,4,12.250822
0.0,2,12.253825
0.0,2,12.257828
0.0,8,12.270841
0.0,6,12.28085
0.0,2,12.283852
0.0,7,12.295863
0.0,7,12.343907
0.0,4,12.349912
0.0,9,12.366126
0.0,3,12.372132
0.0,5,12.380139
0.0,9,12.395153
0.0,4,12.401158
0.0,12,12.421176
0.0,8,12.43519
0.0,8,12.449202
0.0,10,12.466218
0.0,6,12.477228
0.0,5,12.485235
0.0,3,12.49124
0.0,6,12.501249
0.0,12,12.523271
1.0,11,12.542287
0.0,6,12.552296
0.0,3,12.558301
0.0,2,12.561304
0.0,11,12.580321
0.0,2,12.584325
0.0,8,12.598338
0.0,17,12.628365
0.0,6,12.638374
0.0,3,12.64438
0.0,4,12.651386
0.0,4,12.658392
0.0,8,12.672405
0.0,2,12.675408
0.0,3,12.681413
0.0,11,12.700431
0.0,3,12.705435
0.0,3,12.71044
0.0,7,12.723452
0.0,19,12.756481
0.0,9,12.772496
0.0,7,12.784507
0.0,6,12.794516
0.0,4,12.801522
0.0,12,12.822541
0.0,28,12.871691
0.0,4,12.878697
0.0,3,12.883702
0.0,9,12.899716
0.0,23,12.940753
1.0,10,12.957769
0.0,3,12.962774
0.0,2,12.966777
0.0,8,12.98079
0.0,7,12.992801
0.0,5,13.001809
0.0,4,13.008815
0.0,14,13.034839
0.0,4,13.041846
0.0,8,13.055858
0.0,14,13.080881
0.0,2,13.083884
0.0,9,13.099898
0.0,4,13.106905
0.0,14,13.131927
0.0,15,13.157951
0.0,9,13.173965
0.0,2,13.176968
0.0,7,13.18998
0.0,16,13.252037
0.0,7,13.264047
0.0,7,13.277059
0.0,7,13.28907
0.0,3,13.294075
0.0,2,13.297077
0.0,2,13.301081
0.0,3,13.306086
0.0,4,13.313092
0.0,5,13.3221
0.0,3,13.327105
0.0,13,13.350126
0.0,14,13.373162
0.0,12,13.395348
0.0,8,13.409361
0.0,4,13.416367
0.0,33,13.473419
0.0,11,13.492436
0.0,4,13.499442
0.0,5,13.508451
0.0,11,13.528469
0.0,37,13.592527
0.0,3,13.598532
0.0,3,13.603537
0.0,7,13.616549
0.0,22,13.654586
0.0,4,13.661592
0.0,2,13.665595
1.0,7,13.677606
0.0,5,13.686615
0.0,23,13.726651
0.0,7,13.738662
0.0,10,13.756678
0.0,38,13.822738
0.0,8,13.836751
0.0,8,13.850764
0.0,5,13.859772
0.0,5,13.867823
0.0,5,13.87582
0.0,2,13.87983
0.0,7,13.892912
0.0,4,13.899919
0.0,7,13.91193
0.0,2,13.915933
0.0,13,13.938954
0.0,10,13.95597
0.0,13,13.978991
0.0,2,13.981994
0.0,4,13.989
0.0,3,13.995005
0.0,2,13.998008
0.0,2,14.002012
0.0,16,14.030037
0.0,11,14.050055
0.0,5,14.059064
0.0,10,14.07708
0.0,5,14.085087
0.0,2,14.089091
0.0,3,14.094095
0.0,2,14.098099
0.0,8,14.112112
0.0,8,14.126124
0.0,2,14.164159
0.0,13,14.18718
0.0,3,14.192185
