#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
1,38,97.831876,20
1,21,97.934968,6
1,37,98.066087,9
1,29,98.165178,7
1,28,98.25526,13
1,35,98.369364,14
1,19,98.430419,9
1,25,98.511493,10
1,22,98.583558,15
1,18,98.641611,9
1,37,98.764723,21
1,30,98.862812,14
1,33,98.968908,7
1,22,99.040974,10
1,18,99.100028,13
1,25,99.183103,8
1,20,99.248162,7
1,23,99.32223,8
1,33,99.431328,15
1,20,99.496388,13
1,21,99.59848,10
1,27,99.692566,13
1,23,99.775641,8
1,23,99.850709,10
1,21,99.919772,13
1,18,99.978826,12
1,29,100.072911,18
1,30,100.174003,17
1,25,100.25808,11
1,29,100.357169,20
1,22,100.430236,17
1,18,100.48929,9
1,23,100.565359,14
1,23,100.641428,8
1,26,100.727507,9
1,34,100.839608,14
1,27,100.92969,13
1,23,101.005761,17
1,20,101.072822,10
1,25,101.1579,13
1,30,101.259992,10
1,24,101.3791,16
1,24,101.46718,16
1,19,101.536243,4
1,20,103.235378,9
1,30,103.331465,12
1,25,103.408535,14
1,26,103.49061,11
1,22,103.568989,10
1,25,103.656089,12
1,22,103.724151,11
1,23,103.797217,10
1,19,103.864277,9
1,22,103.945352,9
1,21,104.02042,11
1,22,104.093486,13
1,20,104.158546,12
1,22,104.228609,7
1,19,104.288664,14
1,20,104.351721,12
1,20,104.413777,12
1,21,104.479838,13
1,28,104.565916,12
1,19,104.667018,12
1,22,104.748452,13
1,24,104.827524,12
1,24,104.901592,7
1,20,104.962647,13
1,22,105.030709,14
1,23,105.102777,11
1,23,105.174842,14
1,19,105.232895,13
1,20,105.293951,10
1,19,105.353004,8
1,21,105.418063,4
1,20,105.48112,7
1,23,105.552185,11
1,21,105.617244,10
1,22,105.685306,6
1,18,105.740356,11
1,32,105.842469,10
1,21,105.908529,12
1,21,105.97559,10
1,23,106.048656,9
1,22,106.116717,13
1,20,106.180776,12
1,21,106.28487,11
1,19,106.349929,13
1,20,106.41699,5
1,42,106.554115,13
1,30,106.650203,12
1,20,106.715262,9
1,21,106.783324,11
1,24,106.863397,8
1,20,106.926453,12
1,18,106.986508,4
1,26,107.070585,12
1,22,107.141649,11
1,25,107.222723,13
1,22,107.293787,11
1,25,107.374861,13
1,26,107.457937,11
1,26,107.544015,7
1,34,107.655116,15
1,21,107.722177,12
1,21,107.792241,2
1,21,107.860302,11
1,24,107.975406,13
1,18,108.039465,10
1,22,108.114533,12
1,18,108.173587,13
1,23,108.249656,8
1,22,108.32072,15
1,23,108.394789,8
1,18,108.454843,11
1,28,108.546926,10
1,21,108.613987,14
1,21,108.682049,13
1,25,108.763123,15
1,21,108.832186,10
1,21,108.901248,16
1,24,108.98032,13
1,24,109.058393,8
1,18,109.119448,11
1,24,109.19752,12
1,24,109.275591,11
1,18,109.337647,13
1,25,109.420722,12
1,22,109.491787,13
1,20,109.558848,13
1,24,109.682961,7
1,22,109.765035,14
1,20,109.833097,7
1,47,109.986237,15
1,26,111.708044,16
1,20,111.7701,7
1,21,111.833158,6
1,18,111.890209,13
1,20,111.951265,13
1,34,112.055359,10
1,20,112.117416,13
1,19,112.175468,8
1,30,112.268553,9
1,20,112.329609,16
1,20,112.391665,12
1,23,112.464731,9
1,21,112.527789,7
1,20,112.589845,12
1,22,112.658908,10
1,19,112.718963,15
1,20,112.783021,2
1,24,112.892119,9
1,23,112.971191,8
1,21,113.045258,10
1,19,113.106314,7
1,22,113.175377,10
1,27,113.263457,7
1,19,113.322511,16
1,22,113.394577,9
1,32,113.496669,15
1,24,113.572738,13
1,25,113.652824,8
1,21,113.720886,10
1,20,113.784945,13
1,18,113.842997,10
1,21,113.913061,6
1,22,113.982124,12
1,18,114.040176,11
1,21,114.107237,12
1,30,114.205327,12
1,19,114.266382,5
1,24,114.342451,9
1,20,114.408511,9
1,23,114.483083,8
1,23,114.594184,11
1,24,114.677259,15
1,23,114.761336,13
