#{"t_start": 1679442213.4733348, "env_id": null}
r,l,t,ruined grasses
1,19,151.367239,11
1,18,151.429842,11
1,19,151.492219,14
1,26,151.586172,13
1,26,151.679783,12
1,19,151.742235,12
1,20,151.82038,14
1,19,151.882622,7
1,19,151.945382,10
1,22,152.023509,14
1,23,152.117271,11
1,23,152.195402,8
1,18,152.258662,10
1,19,152.322497,12
1,20,152.400374,5
1,18,152.462879,12
1,20,152.54101,4
1,21,152.603819,12
1,19,152.681904,9
1,18,152.744399,6
1,25,152.822542,9
1,19,152.900725,9
1,20,152.965124,11
1,18,153.027532,4
1,19,153.10571,11
1,18,153.168176,9
1,18,153.230825,10
1,19,153.293183,14
1,21,153.371048,6
1,21,153.449448,14
1,22,153.527638,14
1,23,153.605743,11
1,22,153.683855,7
1,20,153.762098,8
1,19,153.824474,7
1,20,153.902348,13
1,23,153.982141,7
1,22,154.060264,12
1,23,154.138403,14
1,22,154.216526,13
1,21,154.294714,9
1,20,154.372909,10
1,22,154.450933,11
1,18,154.513432,12
1,18,154.575936,14
1,20,154.654366,8
1,19,154.716576,14
1,19,154.794739,3
1,20,154.857208,7
1,23,154.951111,10
1,18,155.013472,15
1,20,155.091599,8
1,20,155.15421,12
1,22,155.247864,14
1,22,157.342708,8
1,22,157.420839,15
1,23,157.483353,10
1,18,157.545858,9
1,18,157.608362,13
1,34,157.733372,13
1,27,157.811503,7
1,28,157.90526,19
1,19,157.983391,11
1,22,158.061522,13
1,20,158.124027,11
1,18,158.187643,13
1,22,158.265785,7
1,22,158.343915,11
1,21,158.40642,6
1,22,158.484551,13
1,19,158.547056,17
1,20,158.625187,13
1,20,158.687692,13
1,22,158.763283,7
1,20,158.841414,16
1,19,158.903919,12
1,18,158.966424,13
1,20,159.028928,14
1,18,159.091433,13
1,20,159.169564,10
1,18,159.232069,16
1,22,159.310199,14
1,18,159.372704,14
1,22,159.450835,7
1,18,159.51334,10
1,19,159.575845,13
1,22,159.653976,15
1,18,159.71648,17
1,24,159.794611,14
1,20,159.872742,14
1,20,159.935247,16
1,18,159.997752,12
1,22,160.075882,6
1,24,160.16964,16
1,29,160.263397,12
1,20,160.341528,14
1,18,160.404032,15
1,20,160.482163,14
1,18,160.544668,15
1,19,160.607173,17
1,21,160.685303,8
1,20,160.747808,9
1,34,160.872818,20
1,25,160.967686,14
1,22,161.031434,13
1,18,161.109565,11
1,23,161.187696,14
1,18,161.250201,14
1,18,161.312705,17
1,19,161.37521,14
1,20,161.453341,14
1,23,161.531472,10
1,20,161.593976,10
1,18,161.672107,14
1,20,161.734612,13
1,22,161.812743,8
1,20,161.890874,10
1,18,161.953379,15
1,23,162.031509,16
1,27,162.125267,13
1,22,162.203398,12
1,18,162.265902,13
1,18,162.328407,10
1,18,162.390912,14
1,25,162.486388,13
1,19,162.548904,10
1,22,162.627035,17
1,22,162.705166,18
1,19,162.783297,10
1,19,162.845801,15
1,20,162.923932,16
1,18,162.986437,14
1,20,163.048942,11
1,18,163.127073,15
1,18,163.189578,14
1,25,163.267708,15
1,30,163.377092,7
1,19,163.455223,15
1,19,163.517727,11
1,21,163.595858,14
1,22,163.673989,10
1,18,163.736494,11
1,20,163.814625,17
1,20,163.87713,14
1,18,163.939634,15
1,21,164.017765,14
1,24,164.111522,5
1,21,164.189652,10
1,18,164.252158,14
1,21,164.330289,16
1,18,164.392794,4
1,19,164.455299,14
1,19,164.533429,7
1,18,166.614027,13
1,20,166.676532,12
1,18,166.739372,13
1,18,166.801846,14
1,21,166.864336,11
1,18,166.92686,15
1,30,167.036247,22
1,18,167.083111,13
1,20,167.161233,12
1,19,167.223872,16
1,20,167.286274,14
1,18,167.348878,16
1,18,167.411356,13
1,18,167.473779,14
1,24,167.551899,14
1,22,167.630001,12
1,21,167.70822,13
1,20,167.770632,10
1,22,167.848913,15
1,18,167.911272,15
1,18,167.973514,14
1,18,168.03627,13
1,28,168.130042,10
1,18,168.192531,17
1,22,168.272139,11
1,22,168.35024,15
1,20,168.428347,13
1,18,168.490904,4
1,22,168.569007,13
1,18,168.631494,14
1,18,168.693999,10
1,19,168.756503,12
1,20,168.81904,12
1,18,168.897329,16
1,22,168.961063,13
1,22,169.039241,14
1,18,169.101684,16
1,18,169.164249,15
1,20,169.242319,14
1,18,169.304864,12
1,21,169.383045,15
1,21,169.445451,15
1,19,169.523587,17
1,20,169.586097,9
1,25,169.679896,19
1,22,169.75802,10
1,25,169.85174,17
1,18,169.91493,15
1,22,169.992371,13
1,21,170.055039,14
1,22,170.133023,14
1,22,170.211416,16
1,22,170.289273,16
1,20,170.367404,15
1,21,170.445534,10
1,22,170.523662,17
1,21,170.601852,14
1,24,170.67996,15
1,20,170.758062,15
1,20,170.820552,11
1,19,170.883073,13
