#{"t_start": 1679479579.2301593, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,17.734053
0.0,2,17.737055
0.0,3,17.74206
1.0,10,17.759075
0.0,9,17.77509
0.0,5,17.784101
0.0,10,17.80212
0.0,5,17.809126
0.0,10,17.827142
0.0,4,17.83515
0.0,12,17.856169
0.0,9,17.871183
0.0,5,17.880191
0.0,12,17.901215
0.0,3,17.906219
0.0,2,17.909222
0.0,8,17.923235
0.0,4,17.930241
0.0,2,17.934244
0.0,4,17.94025
0.0,14,17.965063
0.0,5,17.973061
0.0,3,17.978066
0.0,2,17.98307
0.0,7,17.99408
0.0,6,18.004636
0.0,6,18.015152
0.0,8,18.028164
0.0,7,18.040175
0.0,8,18.054869
0.0,5,18.063175
0.0,5,18.071886
0.0,4,18.077892
0.0,3,18.084423
0.0,8,18.09844
0.0,4,18.105447
0.0,10,18.159011
0.0,16,18.186052
0.0,2,18.189055
0.0,3,18.194062
0.0,8,18.208079
0.0,6,18.218091
0.0,10,18.236113
0.0,7,18.248127
0.0,4,18.255136
0.0,9,18.271156
0.0,2,18.275162
0.0,4,18.28212
0.0,4,18.289122
0.0,18,18.321027
0.0,10,18.34004
0.0,4,18.34905
0.0,7,18.361063
0.0,9,18.378086
0.0,8,18.393162
0.0,11,18.417189
0.0,14,18.441215
0.0,5,18.449225
0.0,9,18.466247
0.0,2,18.46925
0.0,3,18.474257
0.0,24,18.51831
0.0,3,18.523316
0.0,2,18.526319
0.0,10,18.54434
0.0,8,18.559887
0.0,16,18.588913
0.0,3,18.593918
0.0,9,18.610934
0.0,8,18.626948
0.0,3,18.633954
0.0,2,18.636957
0.0,4,18.642963
0.0,14,18.669987
0.0,4,18.675993
0.0,4,18.685001
0.0,8,18.700014
0.0,3,18.705019
0.0,4,18.711025
0.0,5,18.721039
0.0,5,18.732049
0.0,3,18.737053
0.0,12,18.759076
0.0,2,18.763079
0.0,2,18.767083
0.0,3,18.772088
0.0,12,18.793648
0.0,10,18.810691
0.0,5,18.820717
0.0,5,18.830742
0.0,6,18.840756
0.0,12,18.862783
0.0,2,18.866789
0.0,12,18.888813
0.0,7,18.901832
0.0,6,18.911849
0.0,2,18.916849
0.0,2,18.919852
0.0,8,18.934873
0.0,3,18.939878
0.0,6,18.95089
0.0,3,18.955897
0.0,3,18.960902
0.0,6,18.971921
0.0,11,18.991936
0.0,15,19.01997
0.0,5,19.027979
0.0,4,19.03699
0.0,6,19.048003
0.0,2,19.052014
0.0,7,19.100569
0.0,6,19.109932
0.0,3,19.117939
0.0,4,19.124946
0.0,4,19.133956
0.0,4,19.140963
0.0,2,19.143966
0.0,8,19.15998
0.0,5,19.1725
0.0,3,19.176503
0.0,5,19.189518
0.0,8,19.206557
0.0,6,19.219571
0.0,8,19.236589
0.0,20,19.277626
0.0,5,19.290638
0.0,5,19.302673
0.0,9,19.320689
0.0,11,19.34274
0.0,15,19.373776
0.0,6,19.386793
0.0,2,19.390797
0.0,3,19.394803
0.0,3,19.403816
0.0,3,19.40882
0.0,4,19.418435
0.0,7,19.433981
0.0,4,19.43999
0.0,2,19.443996
0.0,2,19.450002
0.0,13,19.474036
0.0,12,19.50007
0.0,5,19.508082
0.0,2,19.511085
0.0,5,19.522626
0.0,4,19.530635
0.0,5,19.540649
0.0,12,19.565194
0.0,5,19.5742
0.0,13,19.601751
0.0,15,19.629781
0.0,3,19.636837
0.0,11,19.658857
0.0,2,19.66186
0.0,6,19.675873
0.0,6,19.688897
0.0,6,19.702422
0.0,2,19.705418
0.0,18,19.739975
0.0,8,19.75599
0.0,11,19.777014
0.0,2,19.783545
0.0,3,19.788554
1.0,11,19.809103
0.0,8,19.825118
0.0,8,19.841133
0.0,4,19.851668
0.0,4,19.858178
0.0,8,19.875196
0.0,4,19.885213
0.0,4,19.891221
0.0,2,19.894223
0.0,7,19.909772
0.0,9,19.927792
0.0,18,19.962867
0.0,4,19.971897
0.0,5,19.981925
0.0,5,19.990913
0.0,8,20.006934
0.0,3,20.012942
0.0,19,20.052002
0.0,4,20.057993
0.0,24,20.105084
0.0,2,20.108087
0.0,4,20.152129
0.0,2,20.155132
0.0,8,20.168144
0.0,3,20.173149
0.0,11,20.190164
0.0,4,20.198171
0.0,14,20.220192
0.0,3,20.225196
0.0,7,20.239208
0.0,6,20.25227
0.0,2,20.256266
0.0,2,20.259269
0.0,2,20.26529
0.0,4,20.27232
0.0,4,20.27932
0.0,3,20.28635
0.0,13,20.311403
0.0,2,20.317423
0.0,14,20.342997
0.0,2,20.350003
0.0,9,20.36703
0.0,4,20.373033
0.0,13,20.394057
0.0,14,20.416081
0.0,6,20.426092
0.0,5,20.434102
0.0,6,20.444113
0.0,5,20.452127
0.0,4,20.458127
0.0,5,20.466137
0.0,6,20.475147
0.0,5,20.483157
0.0,5,20.491165
1.0,7,20.502195
0.0,2,20.506183
0.0,4,20.512197
0.0,5,20.520198
0.0,2,20.523203
0.0,12,20.542229
0.0,5,20.554237
0.0,7,20.567258
0.0,3,20.572267
0.0,4,20.580269
0.0,13,20.605303
0.0,10,20.625301
0.0,4,20.634314
0.0,5,20.642338
0.0,11,20.666375
0.0,3,20.671379
0.0,7,20.685396
0.0,2,20.688399
0.0,2,20.691402
0.0,3,20.699411
0.0,11,20.720309
0.0,3,20.725315
0.0,5,20.736327
0.0,33,20.797398
0.0,9,20.811414
0.0,3,20.81642
0.0,2,20.819423
1.0,8,20.832444
0.0,18,20.860469
0.0,2,20.864475
0.0,7,20.875488
0.0,4,20.881493
0.0,3,20.886499
0.0,5,20.894509
0.0,5,20.902524
0.0,7,20.913531
0.0,26,20.954577
0.0,2,20.95758
0.0,6,20.967591
0.0,2,20.970594
0.0,5,20.978603
0.0,2,20.981606
0.0,2,20.985611
0.0,4,20.991616
0.0,2,20.994622
0.0,6,21.007636
0.0,12,21.026657
0.0,5,21.070705
0.0,6,21.079716
0.0,6,21.089727
